name	split
AC000006	train
AC000076	test
AC000115	train
AC000135	train
AC000165	train
AC000248	train
AC000392	train
AC000520	train
AC000540	train
AC000583	train
AC000592	test
AC000610	test
AC000695	train
AC000747	test
AC000776	train
AC000781	train
AC000814	train
AC000819	train
AC000827	train
AC000916	train
BML01672	train
CCMSLIB00000001547	train
CCMSLIB00000001548	train
CCMSLIB00000001563	train
CCMSLIB00000001574	test
CCMSLIB00000001590	test
CCMSLIB00000001598	test
CCMSLIB00000001602	train
CCMSLIB00000001606	train
CCMSLIB00000001621	train
CCMSLIB00000001631	train
CCMSLIB00000001645	train
CCMSLIB00000001653	train
CCMSLIB00000001673	train
CCMSLIB00000004235	train
CCMSLIB00000004313	train
CCMSLIB00000004409	val
CCMSLIB00000004467	train
CCMSLIB00000004468	train
CCMSLIB00000004469	train
CCMSLIB00000004480	train
CCMSLIB00000004492	val
CCMSLIB00000004518	train
CCMSLIB00000004573	train
CCMSLIB00000004667	train
CCMSLIB00000004678	train
CCMSLIB00000004692	train
CCMSLIB00000004733	test
CCMSLIB00000004749	test
CCMSLIB00000004805	train
CCMSLIB00000004858	train
CCMSLIB00000004871	train
CCMSLIB00000004903	train
CCMSLIB00000004978	train
CCMSLIB00000004999	test
CCMSLIB00000005045	train
CCMSLIB00000005204	train
CCMSLIB00000005221	train
CCMSLIB00000005228	train
CCMSLIB00000005265	train
CCMSLIB00000005310	train
CCMSLIB00000005351	train
CCMSLIB00000005355	val
CCMSLIB00000005360	train
CCMSLIB00000005454	test
CCMSLIB00000005468	train
CCMSLIB00000005526	train
CCMSLIB00000005601	train
CCMSLIB00000005657	test
CCMSLIB00000005678	test
CCMSLIB00000005802	train
CCMSLIB00000005803	train
CCMSLIB00000005825	train
CCMSLIB00000005834	train
CCMSLIB00000005873	train
CCMSLIB00000005885	train
CCMSLIB00000005888	train
CCMSLIB00000005959	train
CCMSLIB00000006006	train
CCMSLIB00000006049	test
CCMSLIB00000006094	train
CCMSLIB00000006190	train
CCMSLIB00000006265	train
CCMSLIB00000006290	test
CCMSLIB00000006406	test
CCMSLIB00000006500	train
CCMSLIB00000006871	train
CCMSLIB00000006885	train
CCMSLIB00000006890	train
CCMSLIB00000006895	train
CCMSLIB00000007048	train
CCMSLIB00000007053	val
CCMSLIB00000007075	test
CCMSLIB00000007120	train
CCMSLIB00000007121	train
CCMSLIB00000007138	train
CCMSLIB00000068218	train
CCMSLIB00000068221	train
CCMSLIB00000068226	train
CCMSLIB00000068232	train
CCMSLIB00000070245	train
CCMSLIB00000070246	train
CCMSLIB00000070256	train
CCMSLIB00000070258	train
CCMSLIB00000070260	train
CCMSLIB00000070265	test
CCMSLIB00000070268	train
CCMSLIB00000070270	train
CCMSLIB00000070272	train
CCMSLIB00000070278	val
CCMSLIB00000070283	train
CCMSLIB00000070285	train
CCMSLIB00000070293	train
CCMSLIB00000070301	train
CCMSLIB00000071744	train
CCMSLIB00000071745	train
CCMSLIB00000072176	train
CCMSLIB00000072177	val
CCMSLIB00000072178	train
CCMSLIB00000072179	train
CCMSLIB00000072235	train
CCMSLIB00000072257	train
CCMSLIB00000072258	train
CCMSLIB00000072259	train
CCMSLIB00000072276	test
CCMSLIB00000072284	train
CCMSLIB00000072288	train
CCMSLIB00000072289	train
CCMSLIB00000072309	train
CCMSLIB00000072497	train
CCMSLIB00000072561	train
CCMSLIB00000074975	train
CCMSLIB00000075009	train
