name	split
AC000006	test
AC000076	train
AC000115	test
AC000135	train
AC000165	train
AC000248	train
AC000392	test
AC000520	train
AC000540	test
AC000583	train
AC000592	train
AC000610	train
AC000695	train
AC000747	train
AC000776	train
AC000781	test
AC000814	train
AC000819	train
AC000827	train
AC000916	train
BML01672	train
CCMSLIB00000001547	train
CCMSLIB00000001548	train
CCMSLIB00000001563	train
CCMSLIB00000001574	train
CCMSLIB00000001590	train
CCMSLIB00000001598	train
CCMSLIB00000001602	test
CCMSLIB00000001606	train
CCMSLIB00000001621	train
CCMSLIB00000001631	test
CCMSLIB00000001645	test
CCMSLIB00000001653	train
CCMSLIB00000001673	train
CCMSLIB00000004235	train
CCMSLIB00000004313	train
CCMSLIB00000004409	train
CCMSLIB00000004467	val
CCMSLIB00000004468	train
CCMSLIB00000004469	test
CCMSLIB00000004480	train
CCMSLIB00000004492	train
CCMSLIB00000004518	train
CCMSLIB00000004573	val
CCMSLIB00000004667	test
CCMSLIB00000004678	train
CCMSLIB00000004692	train
CCMSLIB00000004733	train
CCMSLIB00000004749	train
CCMSLIB00000004805	train
CCMSLIB00000004858	train
CCMSLIB00000004871	test
CCMSLIB00000004903	train
CCMSLIB00000004978	train
CCMSLIB00000004999	train
CCMSLIB00000005045	train
CCMSLIB00000005204	train
CCMSLIB00000005221	test
CCMSLIB00000005228	test
CCMSLIB00000005265	train
CCMSLIB00000005310	test
CCMSLIB00000005351	test
CCMSLIB00000005355	test
CCMSLIB00000005360	train
CCMSLIB00000005454	train
CCMSLIB00000005468	test
CCMSLIB00000005526	test
CCMSLIB00000005601	train
CCMSLIB00000005657	train
CCMSLIB00000005678	train
CCMSLIB00000005802	val
CCMSLIB00000005803	train
CCMSLIB00000005825	test
CCMSLIB00000005834	test
CCMSLIB00000005873	train
CCMSLIB00000005885	train
CCMSLIB00000005888	train
CCMSLIB00000005959	train
CCMSLIB00000006006	test
CCMSLIB00000006049	train
CCMSLIB00000006094	train
CCMSLIB00000006190	train
CCMSLIB00000006265	train
CCMSLIB00000006290	train
CCMSLIB00000006406	train
CCMSLIB00000006500	train
CCMSLIB00000006871	train
CCMSLIB00000006885	train
CCMSLIB00000006890	train
CCMSLIB00000006895	train
CCMSLIB00000007048	train
CCMSLIB00000007053	train
CCMSLIB00000007075	train
CCMSLIB00000007120	train
CCMSLIB00000007121	train
CCMSLIB00000007138	train
CCMSLIB00000068218	val
CCMSLIB00000068221	train
CCMSLIB00000068226	train
CCMSLIB00000068232	train
CCMSLIB00000070245	train
CCMSLIB00000070246	train
CCMSLIB00000070256	train
CCMSLIB00000070258	train
CCMSLIB00000070260	train
CCMSLIB00000070265	train
CCMSLIB00000070268	train
CCMSLIB00000070270	test
CCMSLIB00000070272	test
CCMSLIB00000070278	train
CCMSLIB00000070283	test
CCMSLIB00000070285	train
CCMSLIB00000070293	test
CCMSLIB00000070301	train
CCMSLIB00000071744	train
CCMSLIB00000071745	train
CCMSLIB00000072176	val
CCMSLIB00000072177	train
CCMSLIB00000072178	train
CCMSLIB00000072179	train
CCMSLIB00000072235	train
CCMSLIB00000072257	test
CCMSLIB00000072258	test
CCMSLIB00000072259	test
CCMSLIB00000072276	train
CCMSLIB00000072284	train
CCMSLIB00000072288	train
CCMSLIB00000072289	val
CCMSLIB00000072309	test
CCMSLIB00000072497	train
CCMSLIB00000072561	test
CCMSLIB00000074975	train
CCMSLIB00000075009	train
CCMSLIB00000075010	test
CCMSLIB00000075011	train
CCMSLIB00000075012	train
CCMSLIB00000075013	train
CCMSLIB00000075017	train
CCMSLIB00000075068	train
CCMSLIB00000075070	test
CCMSLIB00000075071	test
CCMSLIB00000075072	train
CCMSLIB00000075073	train
CCMSLIB00000075076	train
CCMSLIB00000075077	train
CCMSLIB00000075361	test
CCMSLIB00000075362	train
CCMSLIB00000076749	train
CCMSLIB00000076971	test
CCMSLIB00000076973	train
CCMSLIB00000076982	train
CCMSLIB00000076992	train
CCMSLIB00000076997	train
CCMSLIB00000077004	test
CCMSLIB00000077009	test
CCMSLIB00000077016	train
CCMSLIB00000077022	val
CCMSLIB00000077025	train
CCMSLIB00000077027	train
CCMSLIB00000077029	train
CCMSLIB00000077031	test
CCMSLIB00000077039	train
CCMSLIB00000077046	test
CCMSLIB00000077057	train
CCMSLIB00000077065	train
CCMSLIB00000077068	train
CCMSLIB00000077069	val
CCMSLIB00000077072	test
CCMSLIB00000077081	train
CCMSLIB00000077091	test
CCMSLIB00000077098	train
CCMSLIB00000077100	train
CCMSLIB00000077104	train
CCMSLIB00000077107	train
CCMSLIB00000077108	train
CCMSLIB00000077109	val
CCMSLIB00000077112	train
CCMSLIB00000077126	train
CCMSLIB00000077129	train
CCMSLIB00000077137	train
CCMSLIB00000077147	train
CCMSLIB00000077148	train
CCMSLIB00000077149	test
CCMSLIB00000077192	train
CCMSLIB00000077194	train
CCMSLIB00000077197	train
CCMSLIB00000077199	train
CCMSLIB00000078001	train
CCMSLIB00000078007	val
CCMSLIB00000078009	val
CCMSLIB00000078017	train
CCMSLIB00000078019	test
CCMSLIB00000078025	train
CCMSLIB00000078030	train
CCMSLIB00000078047	train
CCMSLIB00000078050	train
CCMSLIB00000078051	train
CCMSLIB00000078058	test
CCMSLIB00000078068	train
CCMSLIB00000078075	train
CCMSLIB00000078082	test
CCMSLIB00000078096	train
CCMSLIB00000078098	train
CCMSLIB00000078099	train
CCMSLIB00000078128	train
CCMSLIB00000078143	train
CCMSLIB00000078158	train
CCMSLIB00000078161	train
CCMSLIB00000078164	test
CCMSLIB00000078167	train
CCMSLIB00000078168	train
CCMSLIB00000078177	test
CCMSLIB00000078180	train
CCMSLIB00000078185	train
CCMSLIB00000078186	test
CCMSLIB00000078187	val
CCMSLIB00000078188	test
CCMSLIB00000078196	test
CCMSLIB00000078198	train
CCMSLIB00000078209	train
CCMSLIB00000078219	train
CCMSLIB00000078230	train
CCMSLIB00000078231	train
CCMSLIB00000078233	test
CCMSLIB00000078236	train
CCMSLIB00000078243	train
CCMSLIB00000078273	train
CCMSLIB00000078275	train
CCMSLIB00000078278	train
CCMSLIB00000078285	test
CCMSLIB00000078286	train
CCMSLIB00000078298	test
CCMSLIB00000078299	train
CCMSLIB00000078303	val
CCMSLIB00000078304	train
CCMSLIB00000078305	train
CCMSLIB00000078306	train
CCMSLIB00000078307	train
CCMSLIB00000078310	test
CCMSLIB00000078313	train
CCMSLIB00000078314	train
CCMSLIB00000078315	test
CCMSLIB00000078317	test
CCMSLIB00000078325	train
CCMSLIB00000078326	train
CCMSLIB00000078329	test
CCMSLIB00000078343	train
CCMSLIB00000078349	train
CCMSLIB00000078354	train
CCMSLIB00000078359	train
CCMSLIB00000078360	train
CCMSLIB00000078363	test
CCMSLIB00000078372	test
CCMSLIB00000078391	val
CCMSLIB00000078397	train
CCMSLIB00000078398	train
CCMSLIB00000078400	train
CCMSLIB00000078401	train
CCMSLIB00000078411	val
CCMSLIB00000078414	train
CCMSLIB00000078416	test
CCMSLIB00000078419	train
CCMSLIB00000078423	test
CCMSLIB00000078425	train
CCMSLIB00000078427	train
CCMSLIB00000078429	train
CCMSLIB00000078434	train
CCMSLIB00000078443	train
CCMSLIB00000078456	test
CCMSLIB00000078467	test
CCMSLIB00000078478	train
CCMSLIB00000078479	test
CCMSLIB00000078488	test
CCMSLIB00000078495	test
CCMSLIB00000078496	train
CCMSLIB00000078504	test
CCMSLIB00000078511	test
CCMSLIB00000078515	train
CCMSLIB00000078521	val
CCMSLIB00000078533	train
CCMSLIB00000078534	train
CCMSLIB00000078540	train
CCMSLIB00000078546	train
CCMSLIB00000078550	train
CCMSLIB00000078552	test
CCMSLIB00000078556	train
CCMSLIB00000078557	val
CCMSLIB00000078560	train
CCMSLIB00000078561	train
CCMSLIB00000078562	train
CCMSLIB00000078570	val
CCMSLIB00000078573	test
CCMSLIB00000078577	train
CCMSLIB00000078578	train
CCMSLIB00000078589	train
CCMSLIB00000078590	train
CCMSLIB00000078592	train
CCMSLIB00000078593	test
CCMSLIB00000078594	test
CCMSLIB00000078596	test
CCMSLIB00000078598	train
CCMSLIB00000078602	test
CCMSLIB00000078604	train
CCMSLIB00000078608	train
CCMSLIB00000078620	val
CCMSLIB00000078631	test
CCMSLIB00000078639	train
CCMSLIB00000078643	train
CCMSLIB00000078644	train
CCMSLIB00000078648	train
CCMSLIB00000078685	train
CCMSLIB00000078686	test
CCMSLIB00000078687	train
CCMSLIB00000078688	train
CCMSLIB00000078691	train
CCMSLIB00000078692	train
CCMSLIB00000078695	train
CCMSLIB00000078697	train
